"","year","state_code","population","age_0_to_4","age_05_to_09","age_10_to_19","age_20_to_24","age_25_to_29","age_30_to_34","age_35_to_39","age_40_to_44","age_45_to_49","age_50_to_54","age_55_to_59","age_60_to_64","age_65_to_69","age_70_to_74","age_75_to_79","age_80_to_84","age_85_plus","female","male","married","widowed","divorced","separated","never_married_or_under_15_years_old","u_s_citizen_by_naturalization","not_a_citizen_of_the_u_s","entered_us_before_2000","entered_us_in_2000_or_later","speaks_english_less_than_very_well","less_than_high_school","high_school_graduate_ged_or_alternative_credential","some_college_associate_degree","bachelors_degree_or_higher","males_in_civilian_labor_force","females_in_civilian_labor_force","unemployed_males","unemployed_females","private_wage_and_salary_workers","government_workers","self_employed_not_incorporated","self_employed_incorporated","accommodation_and_food_services_and_arts_entertainment_and_recreation","construction","education","finance_insurance_and_real_estate","health_care_social_assistance","information","manufacturing","other_services","professional_scientific_management_and_administrative_services","public_administration","retail","transportation_warehousing_utilities_natural_resources","wholesale_trade","other","management_professional","services","sales_and_office","construction_and_extracion","maintenance_and_repair","production_transportation_and_material_moving","educational_instruction_and_library_occupations","arts_design_entertainment_sports_and_media_occupations","healthcare_practitioner_and_technical_occupations","other_2","individuals_below_poverty","individuals_above_poverty","not_determined","median_personal_earnings","median_personal_earnings_excl_0_and_neg","u_s_citizen_by_0turalization","high_school_graduate_ged_or_alter0tive_credential","fi0nce_insurance_and_real_estate","professio0l_scientific_ma0gement_and_administrative_services","transportation_warehousing_utilities_0tural_resources","ma0gement_professio0l","mainte0nce_and_repair","educatio0l_instruction_and_library_occupations","median_perso0l_earnings","median_perso0l_earnings_excl_0_and_neg","occupied_housing_units","total_number_of_family_households","family_households_in_poverty","family_households_not_in_poverty","owner_occupied_units","renter_occupied_units","under_20_percent_of_hh_income","x20_to_25_percent_of_hh_income","x25_to_30_percent_of_hh_income","x30_to_35_percent_of_hh_income","x35_percent_of_hh_income","under_15_percent_of_hh_income","x15_to_20_percent_of_hh_income","x20_to_25_percent_of_hh_income_2","x25_to_30_percent_of_hh_income_2","x30_to_35_percent_of_hh_income_2","x35_percent","crowded_units","median_household_income","x85_plus","poulation"
"27",2005,30,146,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,146,146,0,0,0,0,146,0,146,0,0,0,0,146,0,146,0,0,0,146,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,146,0,70000,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
"28",2005,32,940,0,0,196,65,132,64,128,201,0,0,0,0,154,0,0,0,0,821,119,459,101,64,0,316,603,337,743,197,119,128,256,194,101,119,567,0,77,658,154,128,0,261,0,0,0,249,0,0,128,201,101,0,0,0,0,77,709,154,0,0,0,0,0,0,0,0,940,0,9600,9600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940
"29",2005,33,2627,0,0,393,1048,0,0,142,166,796,82,0,0,0,0,0,0,0,1038,1589,1625,0,83,0,919,551,2076,551,2076,1504,0,558,224,404,1293,1038,0,0,2247,142,80,82,1458,0,142,0,88,0,243,0,620,0,0,0,0,0,159,1642,281,0,0,235,142,80,88,0,0,2627,0,19000,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2627
"30",2005,34,33514,0,831,3363,3377,5159,3965,5772,2929,3417,1613,723,732,314,332,807,61,119,14767,18747,16554,958,1611,1025,13366,9825,23689,17587,15927,20309,6054,10715,3954,5220,14882,7346,626,335,18917,1042,5405,744,2657,9686,794,1030,813,138,1395,3449,2725,296,1747,851,527,325,8609,6694,2466,9639,746,3811,364,536,324,325,4865,28542,107,16000,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33514
"31",2005,35,216,0,0,48,0,0,0,0,0,0,0,0,95,0,0,73,0,0,216,0,168,0,0,0,48,168,48,168,48,95,0,168,0,0,0,0,0,0,0,95,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,121,95,0,0,0,0,0,0,0,0,48,168,0,5400,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216
"32",2005,36,26003,0,327,1777,931,4310,6203,1415,2509,3583,1307,1689,761,588,416,108,79,0,12425,13578,11067,260,3105,519,11052,8000,18003,15058,10945,9898,4904,4947,5055,8062,10748,7293,301,362,16997,1145,1607,190,2738,4051,1423,1741,1445,307,351,3117,1763,435,945,1232,391,142,10020,4799,3736,3522,49,1749,943,751,292,142,1698,24305,0,16200,23800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26003
"33",2005,37,2026,0,86,338,144,252,73,222,734,177,0,0,0,0,0,0,0,0,1542,484,984,0,385,0,657,530,1496,1135,891,616,0,341,238,879,0,822,0,92,1162,91,0,129,129,245,91,0,0,0,685,0,151,0,81,0,0,0,1175,156,244,144,0,103,0,204,0,0,123,1903,0,6400,34500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
"34",2005,39,2588,0,0,217,251,341,263,205,701,394,216,0,0,0,0,0,0,0,1315,1273,2037,0,0,0,551,666,1922,1744,844,530,0,83,648,1389,1240,771,0,63,1713,115,370,110,76,195,257,110,407,0,351,187,393,0,83,100,212,0,683,384,465,195,100,0,257,186,318,0,67,2521,0,24900,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2588
"35",2005,40,3410,0,0,1127,0,105,0,0,1078,1017,83,0,0,0,0,0,0,0,1289,2121,2178,0,105,0,1127,272,3138,3410,0,2095,0,0,0,2283,1078,1205,0,0,2095,83,105,0,1078,0,83,1122,0,0,0,0,0,0,0,0,0,0,2205,0,1122,0,0,0,83,0,0,0,0,3410,0,29000,40100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3410
"36",2005,41,571,0,0,0,120,165,0,100,106,0,80,0,0,0,0,0,0,0,245,326,371,0,80,0,120,181,390,451,120,200,100,0,161,190,326,165,0,0,365,106,100,0,0,100,120,0,0,0,0,80,0,106,165,0,0,0,226,80,165,100,0,0,0,0,0,0,200,371,0,19000,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571
"37",2005,42,7019,0,157,748,795,1404,204,1313,654,840,170,328,282,0,0,124,0,0,3209,3810,4354,93,426,150,1996,2860,4159,2494,4525,4973,1947,1113,265,1994,3107,1714,0,0,4368,396,474,0,101,1222,736,0,91,133,44,697,1392,0,298,524,0,0,2236,1329,904,488,0,1704,267,0,91,0,1403,5616,0,10400,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7019
"38",2005,44,1143,0,0,0,75,0,104,198,695,71,0,0,0,0,0,0,0,0,395,748,777,0,71,0,295,145,998,585,558,391,220,501,84,263,748,395,110,0,1039,104,0,0,330,88,104,0,145,0,71,0,220,0,110,75,0,0,71,611,88,0,110,75,104,0,84,0,0,1143,0,24000,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143
"39",2005,45,2339,0,0,119,577,439,307,72,519,54,64,71,0,67,50,0,0,0,753,1586,1574,50,138,0,577,188,2151,825,1514,1341,592,0,817,234,1400,164,0,164,1392,0,384,77,126,797,64,0,0,0,0,215,428,0,223,0,0,0,616,488,223,797,215,0,0,0,0,0,144,2195,0,22000,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339
"40",2005,47,1355,0,0,0,0,823,0,0,0,109,350,0,73,0,0,0,0,0,896,459,994,0,252,0,109,602,753,711,644,0,0,644,423,288,459,252,0,0,1246,109,0,0,0,0,753,0,0,0,0,0,179,0,423,0,0,0,350,0,73,0,0,0,753,179,0,0,0,1355,0,33000,33000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355
"41",2005,48,7921,20,283,382,831,2356,708,702,730,1023,377,110,135,67,127,70,0,0,3407,4514,5648,65,379,88,1741,1233,6688,4467,3454,1390,219,1544,2127,2515,3582,921,344,0,4582,640,605,88,659,0,850,938,169,146,255,370,1116,72,362,773,205,0,2975,802,2281,0,619,428,531,148,137,0,543,7378,0,15000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7921
"42",2005,49,2904,0,182,360,154,330,252,891,384,105,0,246,0,0,0,0,0,0,1232,1672,2263,0,79,0,562,1460,1444,1227,1677,1184,0,287,586,1335,1243,532,0,0,1840,225,142,65,254,0,225,0,174,187,413,246,233,0,427,113,0,0,1034,428,502,0,0,630,225,85,0,0,81,2823,0,13200,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2904
"43",2005,51,6471,87,1180,439,394,643,931,298,691,926,427,83,323,49,0,0,0,0,3307,3164,3251,49,1060,0,2111,935,5536,5414,1057,2591,1399,911,986,1075,1845,2124,0,666,2701,719,990,0,489,1364,270,370,286,93,0,768,307,220,139,104,0,0,2814,1552,302,1364,0,0,363,76,0,0,286,6185,0,11100,22700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6471
"44",2005,53,2505,0,0,467,97,606,72,554,254,376,0,0,0,79,0,0,0,0,1882,623,1347,0,71,0,1087,528,1977,1344,1161,1002,0,231,705,1005,371,1207,0,0,1562,375,71,0,272,0,167,0,351,72,0,79,897,98,72,0,0,0,880,965,550,0,0,0,0,0,0,0,144,2361,0,16800,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505
"45",2005,55,804,0,85,213,0,0,0,203,0,0,144,159,0,0,0,0,0,0,551,253,506,0,0,0,298,523,281,523,281,41,0,41,0,465,162,41,0,0,185,0,162,0,0,0,0,0,0,0,41,0,162,0,144,0,0,0,619,0,144,0,0,41,0,0,0,0,42,762,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804
"46",2006,1,1370,0,349,0,67,30,120,190,281,25,132,25,0,0,63,0,0,88,840,530,954,0,0,0,416,457,913,612,758,356,0,233,150,571,339,62,0,0,373,45,0,28,0,0,45,0,25,0,348,0,0,0,28,0,0,0,1272,0,28,0,0,0,45,0,25,0,0,1370,0,0,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370
"47",2006,4,1435,0,0,379,0,0,0,153,504,0,67,59,65,59,59,0,90,0,630,805,907,0,165,90,273,662,773,1051,384,228,59,65,275,657,473,360,0,0,774,59,0,0,123,0,59,65,182,0,244,0,160,0,0,0,0,0,846,123,65,0,0,67,152,0,182,0,106,1329,0,18100,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435
