"","year","state_code","less_than_high_school","high_school_graduate_ged_or_alternative_credential","some_college_associate_degree","bachelors_degree_or_higher"
"324",2011,46,0,0,0,0
"325",2011,47,0,0,359,785
"326",2011,48,1125,0,2584,6183
"327",2011,49,206,0,340,548
"328",2011,50,0,0,376,27
"329",2011,51,385,0,2075,3479
"330",2011,53,526,0,131,1217
"331",2011,54,0,0,219,205
"332",2011,55,0,0,259,55
"333",2012,1,0,0,0,0
"334",2012,2,0,0,0,0
"335",2012,4,46,0,443,536
"336",2012,5,0,0,124,0
"337",2012,6,1664,0,10207,15820
"338",2012,8,95,0,310,985
"339",2012,9,1832,0,2968,2215
"340",2012,10,150,0,0,64
"341",2012,11,59,0,330,712
"342",2012,12,3953,0,14528,20055
"343",2012,13,737,0,2156,3588
"344",2012,15,0,0,260,631
"345",2012,16,59,0,368,71
"346",2012,17,436,0,1963,1336
"347",2012,18,15,0,374,787
"348",2012,19,0,0,628,506
"349",2012,20,0,0,0,88
"350",2012,21,72,0,0,0
"351",2012,22,33,0,308,335
"352",2012,23,0,0,0,0
"353",2012,24,787,0,1866,3470
"354",2012,25,8035,0,5614,9860
"355",2012,26,356,0,1277,2070
"356",2012,27,0,0,0,828
"357",2012,28,0,0,0,150
"358",2012,29,0,0,192,462
"359",2012,31,0,0,0,488
"360",2012,32,0,0,117,339
"361",2012,33,169,0,226,649
"362",2012,34,6067,0,4105,4682
"363",2012,35,0,0,0,522
"364",2012,36,3290,0,4582,10489
"365",2012,37,158,0,898,1964
"366",2012,38,0,0,26,183
"367",2012,39,0,0,520,815
"368",2012,40,0,0,92,208
"369",2012,41,189,0,599,651
"370",2012,42,1214,0,1544,2301
"371",2012,44,0,0,196,71
"372",2012,45,739,0,417,417
"373",2012,46,0,0,0,207
"374",2012,47,0,0,173,292
"375",2012,48,759,0,2329,6904
"376",2012,49,211,0,1039,927
"377",2012,50,0,0,59,123
"378",2012,51,213,0,585,2370
"379",2012,53,0,0,1034,1475
"380",2012,54,0,0,0,163
"381",2012,55,0,0,210,305
"382",2012,56,0,0,0,45
"383",2013,1,0,0,174,426
"384",2013,2,398,0,0,0
"385",2013,4,119,0,617,822
"386",2013,5,0,0,210,0
"387",2013,6,2395,0,9911,15173
"388",2013,8,216,0,525,829
"389",2013,9,2430,0,3538,4059
"390",2013,10,0,0,68,0
"391",2013,11,306,0,0,1291
"392",2013,12,4620,0,14342,22437
