"","year","state_code","accommodation_and_food_services_and_arts_entertainment_and_recreation","construction","education","finance_insurance_and_real_estate","health_care_social_assistance","information","manufacturing","other_services","professional_scientific_management_and_administrative_services","public_administration","retail","transportation_warehousing_utilities_natural_resources","wholesale_trade","other"
"151",2008,12,5368,9495,2038,3881,3203,320,2004,5861,9898,868,4772,2822,1754,155
"152",2008,13,130,1147,948,709,313,191,797,1026,2740,694,753,0,231,72
"153",2008,15,110,318,0,91,27,80,0,50,0,0,52,0,0,0
"154",2008,16,0,0,0,0,0,0,0,0,0,0,0,0,0,199
"155",2008,17,673,98,280,314,933,292,905,120,206,231,622,247,0,96
"156",2008,18,0,0,1103,0,93,169,0,0,0,0,0,0,0,0
"157",2008,19,0,0,143,0,291,0,92,0,0,0,0,0,0,0
"158",2008,20,0,0,0,0,0,0,0,0,0,0,63,0,0,0
"159",2008,21,0,0,136,415,0,0,0,161,0,0,0,0,0,0
"160",2008,22,100,513,182,0,140,0,0,0,135,376,132,228,223,0
"161",2008,23,0,0,52,0,0,0,0,0,92,0,0,0,0,0
"162",2008,24,161,159,475,23,562,0,0,532,819,634,46,152,0,0
"163",2008,25,16483,10249,1823,1369,2984,266,3481,6140,9554,470,4446,1587,292,53
"164",2008,26,0,376,97,0,178,0,102,68,251,0,113,0,95,0
"165",2008,27,0,0,0,0,111,0,0,56,272,0,754,0,0,0
"166",2008,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",2008,29,0,0,107,0,645,0,199,0,115,0,0,0,0,0
"168",2008,30,0,693,0,0,0,0,0,0,0,0,0,0,0,0
"169",2008,32,232,414,140,90,0,0,62,0,188,58,373,0,0,0
"170",2008,33,1783,0,121,59,0,0,0,0,708,0,422,0,0,0
"171",2008,34,1953,6456,553,1567,1091,424,1765,4928,2889,251,1467,786,472,156
"172",2008,35,0,0,110,0,0,0,0,0,370,0,0,0,0,0
"173",2008,36,1900,2566,864,1344,2203,304,631,5334,4012,510,2353,272,199,0
"174",2008,37,260,811,480,243,342,243,87,55,1030,250,100,109,0,0
"175",2008,39,94,0,265,0,390,126,0,183,1326,202,0,95,165,0
"176",2008,40,0,0,279,0,312,0,0,0,83,0,110,0,0,0
"177",2008,41,0,0,316,78,187,0,181,0,540,0,115,0,0,0
"178",2008,42,443,1906,486,484,204,0,647,264,782,0,299,0,0,0
"179",2008,44,0,0,65,0,73,0,642,0,256,0,0,0,96,0
"180",2008,45,306,1022,0,0,209,88,158,175,381,51,50,0,238,0
"181",2008,46,0,0,20,0,0,0,132,0,0,0,0,0,0,0
"182",2008,47,0,119,102,193,0,0,334,84,0,0,584,110,52,0
"183",2008,48,1519,231,471,718,475,273,276,495,391,667,1380,1059,69,149
"184",2008,49,117,0,355,573,574,0,270,60,963,0,298,187,0,0
"185",2008,50,0,0,0,0,0,0,0,0,193,0,0,40,0,0
"186",2008,51,332,0,536,0,459,92,0,350,330,63,290,0,333,0
"187",2008,53,0,144,110,160,326,77,109,462,1063,0,394,0,0,0
