"","year","state_code","age_0_to_4","age_05_to_09","age_10_to_19","age_20_to_24","age_25_to_29","age_30_to_34","age_35_to_39","age_40_to_44","age_45_to_49","age_50_to_54","age_55_to_59","age_60_to_64","age_65_to_69","age_70_to_74","age_75_to_79","age_80_to_84","age_85_plus"
"164",2008,26,107,0,207,68,0,739,181,170,111,0,174,0,0,0,0,0,0
"165",2008,27,0,0,35,413,397,160,0,0,112,111,0,0,0,0,0,0,0
"166",2008,28,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0
"167",2008,29,0,0,0,0,30,743,115,308,0,131,0,0,77,0,0,0,0
"168",2008,30,0,0,0,693,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",2008,32,0,0,0,0,205,256,182,378,423,83,237,67,0,122,61,58,0
"170",2008,33,0,0,492,417,1177,189,313,579,224,0,0,0,0,0,0,0,0
"171",2008,34,214,610,2043,4227,3652,2697,3794,4069,3560,2382,1397,682,486,168,160,54,0
"172",2008,35,0,0,0,0,0,110,0,370,0,0,0,0,0,0,0,0,0
"173",2008,36,386,154,3776,3487,2606,2678,3907,3845,2810,2465,1408,1379,406,133,369,0,655
"174",2008,37,0,0,356,121,773,1040,544,434,757,249,60,0,357,0,63,0,0
"175",2008,39,0,0,19,1177,91,721,293,335,52,75,179,81,0,0,169,145,0
"176",2008,40,0,0,378,110,108,167,0,399,0,0,0,0,0,0,0,0,0
"177",2008,41,0,0,30,0,178,207,70,463,312,89,156,220,0,0,0,0,0
"178",2008,42,0,88,602,1699,694,1523,1409,173,507,239,199,317,140,0,666,0,0
"179",2008,44,0,0,148,0,73,96,0,65,679,0,65,0,0,272,0,154,0
"180",2008,45,0,199,202,589,518,546,146,462,116,585,0,0,51,0,0,0,0
"181",2008,46,0,0,0,10,0,10,0,0,0,0,132,0,0,0,0,0,0
"182",2008,47,0,0,143,411,30,549,0,292,186,443,0,110,0,0,0,0,0
"183",2008,48,158,70,1814,1598,1121,1291,1680,838,1837,1209,504,60,133,284,172,50,0
"184",2008,49,0,0,294,789,130,0,774,781,288,635,0,0,0,0,0,0,0
"185",2008,50,0,0,0,0,0,0,40,193,0,0,0,0,0,0,0,0,0
"186",2008,51,0,188,131,183,531,215,530,433,397,158,350,188,112,136,0,78,0
"187",2008,53,0,99,660,191,687,254,156,776,308,344,0,79,0,99,0,0,0
"188",2008,55,0,0,0,119,89,178,390,36,121,0,0,0,0,0,0,0,0
"189",2009,1,0,59,125,0,129,62,188,76,0,0,0,88,0,0,0,76,0
"190",2009,2,0,92,100,0,0,0,0,105,48,0,48,88,0,0,0,0,0
"191",2009,4,0,0,286,100,393,177,72,439,110,147,0,0,0,74,0,0,0
"192",2009,5,0,0,0,0,99,0,0,0,137,0,0,0,0,0,0,0,0
"193",2009,6,148,149,2683,2590,2293,3776,4564,2982,2578,2405,1224,874,922,437,0,197,651
"194",2009,8,0,0,48,734,35,564,1108,0,0,115,101,0,87,0,0,0,0
"195",2009,9,504,209,1774,1398,2140,3169,2563,2561,879,410,663,107,0,0,229,0,0
"196",2009,11,0,0,0,0,0,97,0,338,0,78,249,0,0,0,0,0,0
"197",2009,12,446,1928,8570,5915,9778,10819,7907,8971,9406,4341,2750,2269,1543,719,482,156,187
"198",2009,13,92,0,2840,724,1579,1562,1871,2250,1674,464,219,245,270,207,0,0,0
"199",2009,15,0,0,0,157,0,409,0,184,213,0,0,0,0,63,0,0,0
"200",2009,16,0,0,0,0,0,0,98,0,0,112,0,0,0,0,0,0,0
"201",2009,17,0,80,0,65,316,996,290,422,447,391,246,0,58,0,0,0,0
"202",2009,18,0,0,122,140,331,128,278,161,226,0,0,0,0,0,0,0,0
"203",2009,19,0,0,0,0,0,0,115,160,88,0,74,175,0,107,0,0,0
"204",2009,20,0,0,137,189,0,423,0,0,349,0,0,0,0,0,0,0,0
"205",2009,21,0,0,42,0,562,207,69,106,79,22,0,0,0,25,0,0,0
"206",2009,22,0,264,434,319,754,788,665,197,262,269,0,0,86,0,0,0,0
"207",2009,23,0,0,0,88,0,228,0,0,0,0,0,0,0,0,0,0,0
"208",2009,24,0,0,471,416,764,1427,729,1164,835,469,563,152,159,563,172,0,0
"209",2009,25,444,398,5699,6117,12362,10475,9283,9577,7236,4574,1755,894,116,572,0,0,0
"210",2009,26,0,93,338,107,367,406,303,201,182,176,175,160,92,127,0,0,0
