"","year","state_code","management_professional","services","sales_and_office","construction_and_extracion","maintenance_and_repair","production_transportation_and_material_moving","educational_instruction_and_library_occupations","arts_design_entertainment_sports_and_media_occupations","healthcare_practitioner_and_technical_occupations","other_2"
"146",2008,5,599,136,95,0,0,0,0,0,83,0
"147",2008,6,9095,8029,4203,1216,381,2274,1329,1028,198,351
"148",2008,8,216,381,276,0,0,68,149,74,82,83
"149",2008,9,3426,3070,2411,2351,175,1723,256,106,508,0
"150",2008,11,308,0,167,0,0,0,0,0,0,0
"151",2008,12,20300,14629,12734,6890,1682,2252,1522,1710,990,571
"152",2008,13,4986,3325,1715,982,321,644,129,39,0,72
"153",2008,15,834,39,71,318,50,52,0,0,27,0
"154",2008,16,285,0,0,0,0,0,0,0,0,199
"155",2008,17,2282,771,701,98,0,997,184,0,77,327
"156",2008,18,77,0,95,0,0,0,1177,0,93,0
"157",2008,19,92,291,0,0,0,0,143,0,0,0
"158",2008,20,33,0,63,0,0,0,0,0,0,0
"159",2008,21,580,0,415,0,0,0,0,161,0,0
"160",2008,22,603,377,331,645,0,0,182,0,140,0
"161",2008,23,128,92,0,0,0,0,52,0,0,0
"162",2008,24,2448,521,859,0,0,64,152,52,445,0
"163",2008,25,17546,29783,6188,10184,979,4854,901,432,162,53
"164",2008,26,837,68,298,376,0,0,0,0,178,0
"165",2008,27,147,56,160,0,0,754,0,0,111,0
"166",2008,28,88,0,0,0,0,0,0,0,0,0
"167",2008,29,644,0,0,0,0,0,0,115,645,0
"168",2008,30,0,0,0,693,0,0,0,0,0,0
"169",2008,32,836,198,562,335,0,0,57,84,0,0
"170",2008,33,596,2043,336,0,0,295,121,0,0,0
"171",2008,34,8732,9016,3136,5970,546,1436,548,464,191,156
"172",2008,35,370,0,0,0,0,0,110,0,0,0
"173",2008,36,12626,8065,3869,2097,298,1156,492,847,840,0
"174",2008,37,1631,1154,498,670,228,87,262,0,224,0
"175",2008,39,751,1758,92,0,0,0,391,213,132,0
"176",2008,40,461,312,110,0,0,0,279,0,0,0
"177",2008,41,693,89,404,0,167,70,89,115,98,0
"178",2008,42,3911,1491,303,1745,0,414,115,102,175,0
"179",2008,44,939,329,65,0,0,154,65,0,0,0
"180",2008,45,935,867,204,843,0,305,51,0,82,0
"181",2008,46,0,0,10,142,0,0,0,0,0,0
"182",2008,47,1146,84,713,119,0,0,102,0,0,0
"183",2008,48,6694,2028,1557,149,467,1193,255,0,327,149
"184",2008,49,604,1571,488,0,0,525,348,0,73,0
"185",2008,50,233,0,0,0,0,0,0,0,0,0
"186",2008,51,1375,1131,431,0,0,54,525,19,95,0
"187",2008,53,1380,1540,554,70,0,109,0,0,0,0
"188",2008,55,370,36,210,0,0,119,0,0,198,0
"189",2009,1,519,0,150,0,0,0,76,0,58,0
"190",2009,2,385,0,0,48,0,0,0,0,0,48
"191",2009,4,1058,165,322,0,0,0,183,0,70,0
"192",2009,5,137,99,0,0,0,0,0,0,0,0
"193",2009,6,13377,5689,3305,428,623,1417,1764,933,310,489
"194",2009,8,1427,694,228,318,0,0,0,125,0,0
"195",2009,9,5156,5162,1414,3024,139,1108,147,84,273,99
"196",2009,11,416,0,0,0,0,0,0,97,249,0
"197",2009,12,30308,14589,11884,7248,1942,4247,2231,1322,1722,694
"198",2009,13,5014,2934,1648,1388,417,1881,146,0,569,0
"199",2009,15,276,566,0,82,0,0,102,0,0,0
"200",2009,16,0,0,0,0,0,210,0,0,0,0
"201",2009,17,826,330,956,82,217,311,119,0,378,92
"202",2009,18,503,128,423,0,0,70,210,0,52,0
"203",2009,19,485,0,0,0,0,0,0,234,0,0
"204",2009,20,137,386,349,0,94,1,0,0,0,0
"205",2009,21,102,673,108,0,0,0,229,0,0,0
"206",2009,22,1313,238,524,1509,386,0,68,0,0,0
"207",2009,23,316,0,0,0,0,0,0,0,0,0
"208",2009,24,2362,2051,991,1412,90,228,415,335,0,0
"209",2009,25,11526,30651,7753,8712,1674,6614,451,742,511,393
"210",2009,26,1663,191,329,0,22,92,430,0,0,0
"211",2009,27,683,549,868,0,0,26,0,0,117,0
"212",2009,28,0,0,0,0,0,0,0,45,0,0
"213",2009,29,420,411,0,0,0,77,474,0,0,0
"214",2009,30,50,0,0,0,0,0,0,0,0,0
"215",2009,31,214,82,477,0,0,79,0,0,0,0
"216",2009,32,241,380,469,61,57,0,56,0,0,41
"217",2009,33,1454,2633,114,348,0,404,0,81,0,0
"218",2009,34,8865,11956,4642,4754,69,2659,407,736,0,178
"219",2009,35,223,0,0,0,0,0,98,0,0,0
"220",2009,36,7648,7141,4643,1397,520,829,1374,855,729,291
"221",2009,37,1875,2089,228,378,0,0,164,376,153,0
"222",2009,39,1415,480,363,0,0,72,270,147,93,0
"223",2009,40,71,0,86,0,0,0,85,0,0,0
"224",2009,41,416,171,194,0,0,111,0,0,0,0
"225",2009,42,2804,3123,125,1579,79,76,0,0,402,903
"226",2009,44,61,74,280,66,0,233,0,0,0,0
"227",2009,45,224,0,780,488,210,326,0,0,23,90
"228",2009,46,0,49,0,0,0,0,0,0,0,0
"229",2009,47,153,0,355,0,0,0,119,61,0,0
"230",2009,48,6225,3534,2198,179,606,601,1073,91,567,0
"231",2009,49,1098,326,503,0,0,341,60,0,179,0
"232",2009,50,0,42,0,0,0,0,0,0,0,0
"233",2009,51,2629,1195,446,690,106,95,489,69,0,0
"234",2009,53,1719,555,802,121,0,231,194,71,0,212
"235",2009,54,128,280,0,0,0,0,0,0,0,0
"236",2009,55,190,143,118,0,0,0,50,0,0,0
"237",2010,1,565,284,763,0,91,0,489,0,0,0
"238",2010,2,99,0,0,0,0,0,0,0,0,0
"239",2010,4,830,262,149,0,55,0,179,86,97,79
"240",2010,5,1347,0,0,0,0,234,182,0,0,0
"241",2010,6,13445,6313,5854,189,63,1029,1250,1841,1443,202
"242",2010,8,524,156,219,62,0,391,82,159,0,0
"243",2010,9,3327,6988,1056,2965,72,2155,470,0,241,484
"244",2010,10,325,0,96,111,0,0,0,0,260,0
"245",2010,11,423,230,0,0,0,0,0,79,0,64
"246",2010,12,25153,18127,10065,6714,68,2820,1510,803,976,571
"247",2010,13,3504,2923,661,1897,196,780,268,0,143,69
"248",2010,15,229,207,496,37,0,0,0,47,0,0
"249",2010,16,708,0,91,0,0,0,0,0,0,0
"250",2010,17,2717,297,728,84,0,319,242,96,287,97
"251",2010,18,0,0,217,0,0,80,97,0,0,0
"252",2010,19,81,0,379,0,0,0,0,0,0,0
"253",2010,20,832,123,0,66,0,0,0,0,0,0
"254",2010,21,686,0,219,0,0,206,69,0,71,0
"255",2010,22,735,949,0,430,0,0,314,167,0,230
"256",2010,23,139,84,0,0,0,0,405,0,0,0
"257",2010,24,4009,1715,498,311,99,81,542,107,239,61
"258",2010,25,11857,31956,8177,11532,1686,5341,822,489,783,317
"259",2010,26,1868,211,1237,0,0,64,39,0,253,0
"260",2010,27,339,480,451,0,0,175,276,0,151,0
"261",2010,28,61,0,129,0,0,0,0,0,0,0
"262",2010,29,791,360,0,0,0,128,0,0,395,85
